datetime,Carga [TSS/d],Solidos a quemado [%],Temperatura LN a boquillas [°C],Primario,Secundario,Secundario Alto,Terciario,Cuaternario,Control APC Flujo aire a anillo cuaternario,Aire de combustión/ carga de licor [Nm3/kg DS],Temperatura de gases de salida [°C],gen_vap_licor [ton/kg DS],Temperatura de salida vapor [°C],Atemperacion [°C],Soiling_rate_point,Diff_Press_SC [kPa],Diff_Press_BG [kPa],Diff_Press_ECO1 [kPa],Diff_Press_ECO2 [kPa],heat_coef_SH1 [kJ/m2C],heat_coef_SH2 [kJ/m2C],heat_coef_SH3 [kJ/m2C],heat_coef_SH4 [kJ/m2C],reduction_ins [%],alcali_lv_ins [g/L],sulfidez_ins [%],reduction_lab [%],alcali_lv_lab [g/L],sulfidez_lab [%],NOx [mg/Nm³],Material particulado [mg/Nm³],SO2 [mg/Nm³],TRS [mg/Nm³],O2_cont_left [%],O2_cont_center [%],O2_cont_right [%],CO_cont_left_wall [%],CO_cont_center [%],CO_cont_right_wall [%]
2025-02-01 00:00:00,5300.63720703125,79.85009002685547,140.77200317382812,0.23773316091281285,0.27719587077553304,0.24631581615567916,0.12668214408648373,0.11207300806949122,7.0,3.3263161673976955,135.85939407348633,-0.005135228391736746,355.11102294921875,286.0503120422363,-46628.3851890221,-0.09007368236780167,0.3176751434803009,0.785959780216217,0.6395436525344849,0.7805907130241394,1.1906828880310059,0.5764825940132141,18.978181838989258,91.9502944946289,162.21412658691406,26.51664161682129,89.12999725341797,164.8000030517578,27.680288314819336,211.7119598388672,0.6507963538169861,0.0,0.5275458693504333,3.118194103240967,4.47466516494751,5.534063339233398,4.211490154266357,3.2959487438201904,2.1057450771331787
2025-02-01 00:10:00,5300.32177734375,79.80876159667969,140.73944091796875,0.23907314362714663,0.2782101720339846,0.24826455359007918,0.12578322383876925,0.10866890691002032,7.0,3.301058333722553,135.84458541870117,-0.023909039795398712,354.4335021972656,279.00969314575195,-41110.39576385521,-0.10229801386594772,0.30853383243083954,0.7726555615663528,0.6313881576061249,0.7685809135437012,1.1976712942123413,0.5526338815689087,17.74688148498535,91.9502944946289,162.21412658691406,26.51664161682129,89.12999725341797,164.8000030517578,27.680288314819336,211.83604431152344,0.6918478608131409,0.0,0.5202855467796326,3.0258939266204834,4.316397666931152,5.26008939743042,65.74127197265625,56.8551139831543,16.99830436706543
2025-02-01 00:20:00,5303.83056640625,79.82990264892578,140.7795867919922,0.23560226787100488,0.27300086941261953,0.24754681033499795,0.13026856100992135,0.11358149137145628,7.0,3.360678820308325,135.76103973388672,-0.04617622122168541,354.05462646484375,293.6041145324707,-43892.69803230044,-0.09404779225587845,0.3327285051345825,0.8003223240375519,0.6314303576946259,0.7913452386856079,1.165673017501831,0.6214286088943481,18.002490997314453,91.69393920898438,165.13169860839844,25.49732208251953,89.12999725341797,164.8000030517578,27.680288314819336,215.30857849121094,1.0130144357681274,0.0,0.5395514965057373,2.8590035438537598,4.307419776916504,5.332205772399902,521.15673828125,496.47930908203125,90.90434265136719
2025-02-01 00:30:00,5249.43701171875,79.85517120361328,140.73291015625,0.23640805970775383,0.2744630566468197,0.24434209273345056,0.13225013220075826,0.11253665871121762,7.0,3.395908377032991,135.73014068603516,-0.0077382237650454044,354.2229309082031,289.6843452453613,-44467.291788092356,-0.06207318138331175,0.32156310975551605,0.7779420465230942,0.6510674953460693,0.7663528323173523,1.206392765045166,0.5733100771903992,20.747087478637695,91.69393920898438,165.13169860839844,25.49732208251953,89.12999725341797,164.8000030517578,27.680288314819336,221.42478942871094,1.339544653892517,0.0,0.513329029083252,3.1320831775665283,4.43847131729126,5.5838422775268555,37.11503219604492,58.167564392089844,69.06380462646484
2025-02-01 00:40:00,5235.59326171875,79.85366821289062,140.78936767578125,0.23555515426416812,0.2745604181179164,0.24965790921598016,0.13168962206235502,0.10853689633958027,7.0,3.4027487294235157,135.81293487548828,-0.0034552670549601316,354.1802978515625,281.4834175109863,-43811.398659835184,-0.06653006840497255,0.3118875324726105,0.8217087686061859,0.6291033625602722,0.7847098708152771,1.181796908378601,0.5610507726669312,17.882266998291016,91.9106216430664,168.0675811767578,25.45459747314453,89.12999725341797,164.8000030517578,27.680288314819336,227.3114776611328,1.4439210891723633,0.0,0.5258471369743347,3.088223934173584,4.432641983032227,5.426664352416992,37.52162551879883,43.51877212524414,19.091449737548828
2025-02-01 00:50:00,5185.09033203125,79.86746978759766,140.8566131591797,0.23551466691350362,0.2756473192363883,0.24906071089336895,0.13341620683133126,0.10636109612540783,7.0,3.4225838715555463,135.87091064453125,-0.05819318816065788,355.61456298828125,261.2976875305176,-40085.189913282215,-0.10840677842497826,0.3227884918451309,0.7715738415718079,0.6349143385887146,0.7731296420097351,1.1891213655471802,0.5790084600448608,18.097562789916992,91.9106216430664,168.0675811767578,25.45459747314453,89.12999725341797,164.8000030517578,27.680288314819336,228.00286865234375,0.8147924542427063,0.0,0.570169985294342,3.1626639366149902,4.53149938583374,5.569714069366455,23.280040740966797,41.63580322265625,43.336238861083984
2025-02-01 01:00:00,5143.4853515625,79.8592529296875,140.94996643066406,0.2357460877322857,0.2751003118021732,0.2512049123505591,0.13569164834177808,0.10225703977320394,7.0,3.4222782229929436,135.9811897277832,-0.036191850900650024,354.05474853515625,294.7519111633301,-44112.66902974191,-0.08112825825810432,0.28010590374469757,0.7674317508935928,0.6405845880508423,0.784146249294281,1.2179596424102783,0.539370059967041,18.140043258666992,91.73056030273438,165.91908264160156,25.47290802001953,89.12999725341797,164.8000030517578,27.680288314819336,243.72988891601562,2.1034433841705322,0.0,0.5686025619506836,3.1389496326446533,4.538305759429932,5.727202892303467,5.058071136474609,6.203770160675049,2.1057450771331787
2025-02-01 01:10:00,5140.1748046875,79.84664916992188,140.91200256347656,0.23655442509380253,0.2759572736480927,0.24982085213659327,0.13676277133488404,0.10090467778662747,7.0,3.430739505777387,136.0388069152832,-0.03511865809559822,354.63818359375,285.1978950500488,-42168.94916980918,-0.06635516509413719,0.3033727556467056,0.7850106060504913,0.6354273557662964,0.7926253080368042,1.2212833166122437,0.5605287551879883,18.264612197875977,91.73056030273438,165.91908264160156,25.47290802001953,89.12999725341797,164.8000030517578,27.680288314819336,237.71885681152344,0.8577659726142883,0.0,0.5626344680786133,3.185818672180176,4.490329742431641,5.728287220001221,4.211490154266357,3.2959487438201904,2.1057450771331787
2025-02-01 01:20:00,5110.5712890625,79.82632446289062,140.7958984375,0.23879809295467594,0.2775226253742117,0.25136770111626766,0.13455457668384746,0.09775700387099726,7.0,3.4062213740093346,136.16731643676758,-0.05770574137568474,354.4335021972656,279.77409744262695,-42755.25714281969,-0.1400410421192646,0.3319220542907715,0.7620250135660172,0.6191891729831696,0.7922642827033997,1.1943492889404297,0.6105546951293945,18.177698135375977,91.55049896240234,164.78990173339844,25.289796829223633,89.12999725341797,164.8000030517578,27.680288314819336,238.38352966308594,1.2985892295837402,0.0,0.5519096851348877,3.265582799911499,4.4782843589782715,5.674983501434326,4.211490154266357,3.2959487438201904,3.952610492706299
2025-02-01 01:30:00,5101.9609375,79.81578826904297,140.79046630859375,0.24417694738806142,0.28222644958601595,0.2540842888671151,0.1320436115171185,0.08746870264168904,7.0,3.362057233326724,136.16199111938477,-0.034461334347724915,357.02972412109375,275.6185188293457,-44721.157565867434,-0.14089208841323853,0.2926000654697418,0.758483424782753,0.611481636762619,0.7871025800704956,1.2074629068374634,0.5667803883552551,18.937057495117188,91.34907531738281,163.28228759765625,25.088375091552734,89.12999725341797,164.8000030517578,27.680288314819336,231.18701171875,1.3845648765563965,0.0,0.5465056896209717,3.696275234222412,4.519955158233643,4.502079010009766,29.78532600402832,664.1514892578125,5999.99951171875
