datetime,Carga [TSS/d],Solidos a quemado [%],Temperatura LN a boquillas [°C],Control APC Temperatura LN a boquillas,Flujo aire a ventilador primario [Nm³/s],Flujo aire a anillo secundario [Nm³/s],Flujo aire a anillo secundario alto [Nm³/s],Flujo aire a anillo terciario [Nm³/s],Flujo aire a anillo cuaternario [Nm³/s],Control APC Flujo aire a ventilador primario,Control APC Flujo aire a anillo secundario,Control APC Flujo aire a anillo secundario alto,Control APC Flujo aire a anillo terciario,Control APC Flujo aire a anillo cuaternario,Temperatura aire combustion antes VTI 1 [°C],Temperatura aire combustion antes VTI 2 [°C],Temperatura aire combustion antes VTI 3 [°C],Temperatura aire combustion antes VTI 4 [°C],Flujo agua alimentacion [t/h],Temperatura de salida vapor [°C],temp_vapor_pre_atemp2 [°C],temp_vapor_sobrec_post_atemp1 [°C],temp_vapor_pre_atemp1 [°C],temp_vapor_sobrec_post_atemp2 [°C],temp_vapor_sob_desc_sob_sec_1 [°C],temp_vapor_sobrec_post_atemp3 [°C],temp_vapor_sob_desc_sob_sec_2 [°C],temp_vapor_sobrec_post_atemp4 [°C],temp_vapor_sobrec_post_sobrec3 [°C],temp_vapor_sobrec_post_atemp5 [°C],temp_vapor_sobrec_post_sobrec3_2 [°C],temp_vapor_sobrec_post_atemp6 [°C],K_cenizas_pct [%],Cl_cenizas_pct [%],gen_vapor [ton/h],press_hogar [kPa],press_aire_comb_PPT1 [kPa],press_aire_comb_PPT2 [kPa],press_aire_comb_PPT3 [kPa],press_aire_comb_PPT4 [kPa],dif_press_comb_sobrec_izq [kPa],dif_press_comb_sobrec_der [kPa],dif_press_comb_sobrebgp_izq [kPa],dif_press_comb_sobrebgp_der [kPa],dif_press_comb_eco2_izq [kPa],dif_press_comb_eco2_der [kPa],dif_press_comb_eco1_izq [kPa],dif_press_comb_eco1_der [kPa],heat_coef_SH1 [kJ/m2C],heat_coef_SH2 [kJ/m2C],heat_coef_SH3 [kJ/m2C],heat_coef_SH4 [kJ/m2C],reduction_ins [%],alcali_lv_ins [g/L],sulfidez_ins [%],reduction_lab [%],alcali_lv_lab [g/L],sulfidez_lab [%],NOx [mg/Nm³],Material particulado [mg/Nm³],SO2 [mg/Nm³],TRS [mg/Nm³],CO [mg/Nm³],O2_cont_left [%],O2_cont_center [%],O2_cont_right [%],CO_cont_left_wall [%],CO_cont_center [%],CO_cont_right_wall [%],Primario,Secundario,Secundario Alto,Terciario,Cuaternario,Aire de combustión/ carga de licor [Nm3/kg DS],Temperatura de gases de salida [°C],Ratio flujo de vapor/ [Ton vap/kg DS],Atemperacion [°C],T15 [°C],A,B,C,Soiling_rate_point,Diff_Press_SC [kPa],Diff_Press_BG [kPa],Diff_Press_ECO1 [kPa],Diff_Press_ECO2 [kPa]
2024-11-10 00:00:00,6097.533203125,78.24751281738281,139.7010040283203,6.0,50.04335403442383,64.52496337890625,52.088558197021484,33.29108810424805,33.18644714355469,7.0,7.0,7.0,7.0,7.0,140.32958984375,137.84390258789062,140.03204345703125,135.18882751464844,953.1242065429688,492.26934814453125,373.41131591796875,349.62109375,370.22039794921875,345.7999572753906,417.6304016113281,403.51275634765625,412.16131591796875,394.8824768066406,473.4264221191406,459.30877685546875,472.1995849609375,456.3486328125,2.440000057220459,2.0,931.0270385742188,-0.0289506483823061,-1.9318143129348755,-1.8184586763381958,-1.8555879592895508,-1.8009202480316162,-0.1765936017036438,-0.10873963683843613,0.3675898015499115,0.3704291582107544,0.6936582326889038,0.6203004717826843,0.7865028381347656,0.6479930877685547,0.8793016672134399,0.935435950756073,0.4999453127384186,24.779991149902344,93.04895782470703,167.39007568359375,28.298921585083008,92.0999984741211,163.36558532714844,27.191991806030273,217.52403259277344,5.182519435882568,0.0,0.32927367091178894,5.637506008148193,3.8034284114837646,4.59425687789917,3.575985908508301,4.211490154266357,3.2959487438201904,2.1057450771331787,0.21465451560847296,0.2767715119419462,0.22342715519895373,0.14279783058067436,0.14234898666995272,3.3034363942161553,138.34859085083008,3.7515139639268824,109.57574462890625,649.0525994850159,258.6186218261719,-28.9506483823061,-1851.6952991485596,0.02725249359942115,-0.14266661927103996,0.36900947988033295,1.110499382019043,0.6569793522357941
2024-11-10 00:05:00,6112.92431640625,78.25453186035156,139.7827911376953,6.0,49.667747497558594,64.3567123413086,51.81979751586914,33.368106842041016,32.93259811401367,7.0,7.0,7.0,7.0,7.0,140.2999267578125,137.8195343017578,139.9511260986328,135.21319580078125,946.1309204101562,490.9969177246094,367.3415222167969,348.4327697753906,368.9752502441406,347.02056884765625,416.6291809082031,404.8992614746094,412.055419921875,395.85260009765625,471.4060363769531,457.7688293457031,465.77386474609375,453.9297790527344,2.440000057220459,2.0,945.009765625,-0.0356898233294487,-1.9001318216323853,-1.792220115661621,-1.829803228378296,-1.7829707860946655,-0.1247107982635498,-0.06383240967988968,0.34390464425086975,0.3172573447227478,0.6818092465400696,0.6521461009979248,0.796959400177002,0.621052622795105,0.8976005911827087,0.9526960849761963,0.4637301564216614,22.77646255493164,93.04895782470703,167.39007568359375,28.298921585083008,92.0999984741211,163.36558532714844,27.191991806030273,218.7301025390625,5.35377836227417,0.0,0.3213428854942322,2.022437572479248,3.5201950073242188,4.487164497375488,3.5947790145874023,4.211490154266357,3.2959487438201904,2.1057450771331787,0.21395143363509397,0.2772264006967729,0.223221718877939,0.1437382336876579,0.14186221310253622,3.281134152081883,138.3209457397461,3.7146120112923526,94.2774658203125,649.0525994850159,262.50271267361114,-35.6898233294487,-1826.281487941742,0.02598537371075002,-0.09427160397171974,0.3305809944868088,1.1074857115745544,0.6669776737689972
2024-11-10 00:10:00,6099.9921875,78.25181579589844,139.8533172607422,6.0,50.0269775390625,64.8180160522461,52.270626068115234,33.328678131103516,33.138668060302734,7.0,7.0,7.0,7.0,7.0,140.32958984375,137.76300048828125,139.9267578125,135.37501525878906,986.6089477539062,489.1246032714844,368.4401550292969,349.6139221191406,369.9693908691406,347.1287536621094,416.74224853515625,403.9954528808594,411.92266845703125,396.20648193359375,471.0472717285156,457.39654541015625,473.1387023925781,458.9193420410156,2.440000057220459,2.0,935.119384765625,-0.0809784084558487,-1.9240758419036865,-1.8226594924926758,-1.8632258176803589,-1.8023767471313477,-0.13763616979122162,-0.06924643367528915,0.31783759593963623,0.35580024123191833,0.718608021736145,0.6100943088531494,0.7774087190628052,0.6041139364242554,0.8945935964584351,0.9550485610961914,0.44182902574539185,22.9987850189209,93.04895782470703,167.39007568359375,28.298921585083008,92.0999984741211,163.36558532714844,27.191991806030273,222.5041046142578,6.384601593017578,0.0,0.3231717050075531,0.0868951603770256,3.488785743713379,4.489837169647217,3.8735969066619873,4.211490154266357,3.2959487438201904,2.1057450771331787,0.21417219940177723,0.2774946187370527,0.2237775596252002,0.14268454041459408,0.14187108182137576,3.3084580486623323,138.34859085083008,3.881745093807753,97.99993896484375,649.0525994850159,259.75538465711804,-80.9784084558487,-1853.0844748020172,0.02626398332701483,-0.10344130173325539,0.3368189185857773,1.0794656872749329,0.6643511652946472
2024-11-10 00:15:00,6093.10009765625,78.27346801757812,139.87376403808594,6.0,50.06733322143555,64.40364837646484,52.3724250793457,32.57889938354492,32.40301513671875,7.0,7.0,7.0,7.0,7.0,140.2998504638672,137.84390258789062,139.9267578125,135.2941131591797,944.984619140625,491.9694519042969,370.60186767578125,349.5079040527344,369.7657470703125,347.9194030761719,416.333251953125,402.73138427734375,413.1090087890625,394.3274841308594,476.27008056640625,462.0416564941406,475.1979675292969,455.04693603515625,2.440000057220459,2.0,931.658447265625,0.0077835563570261,-1.8995124101638794,-1.7855496406555176,-1.8270320892333984,-1.771100640296936,-0.15058180689811707,-0.09550749510526657,0.29021304845809937,0.3622579574584961,0.7109814286231995,0.6114752888679504,0.7991067171096802,0.6430165767669678,0.900810718536377,0.9447042346000671,0.4634837508201599,24.303953170776367,93.39076232910156,169.4775390625,28.52475929260254,92.0999984741211,163.36558532714844,27.191991806030273,220.0011444091797,5.3227691650390625,0.0,0.3344971537590027,0.5815974473953247,3.4916324615478516,4.477499961853027,3.7277934551239014,4.211490154266357,3.2959487438201904,2.1057450771331787,0.21597008024321618,0.2778111038249978,0.2259133075231485,0.14053210070089134,0.1397734077077462,3.2872769904386443,138.34115600585938,3.722182550078057,109.70315551757812,649.0525994850159,258.79401312934027,7.7835563570261,-1820.7986950874329,0.02730272844523313,-0.12304465100169182,0.32623550295829773,1.120615005493164,0.661228358745575
2024-11-10 00:20:00,6086.91796875,78.27668762207031,139.90049743652344,6.0,49.71834945678711,64.52274322509766,51.92649459838867,33.12452697753906,33.100555419921875,7.0,7.0,7.0,7.0,7.0,140.32958984375,137.81942749023438,139.9267578125,135.39939880371094,947.1992797851562,492.93719482421875,369.2987365722656,348.83355712890625,368.9754638671875,347.85992431640625,416.9526672363281,402.5740051269531,412.5751647949219,394.6087951660156,476.3536071777344,462.4046325683594,475.3104553222656,456.2357177734375,2.440000057220459,2.0,930.5812377929688,-0.06866207718849182,-1.872767686843872,-1.7606806755065918,-1.7981477975845337,-1.7787773609161377,-0.16081374883651733,-0.09310408681631088,0.31412968039512634,0.31027862429618835,0.6806408166885376,0.6282920837402344,0.7858240604400635,0.6255881190299988,0.8945436477661133,0.9384800791740417,0.434766948223114,31.15274429321289,93.39076232910156,169.4775390625,28.52475929260254,92.0999984741211,163.36558532714844,27.191991806030273,213.63621520996094,5.786514759063721,0.0,0.3134658634662628,22.77125358581543,3.608689546585083,4.5026750564575195,3.86128306388855,4.211490154266357,3.2959487438201904,2.1057450771331787,0.21394112613677954,0.2776453461917418,0.22344291095926838,0.14253688390203442,0.14243373281017585,3.2986688441079135,138.36879348754883,3.73469510046841,106.949462890625,649.0525994850159,258.49478827582465,-68.66207718849182,-1802.5933802127838,0.025949458782582997,-0.1269589178264141,0.31220415234565735,1.0986181199550629,0.654466450214386
2024-11-10 00:25:00,6123.3037109375,78.31710052490234,139.8954620361328,6.0,49.360382080078125,64.54769897460938,52.4779167175293,32.518863677978516,32.344520568847656,7.0,7.0,7.0,7.0,7.0,140.201416015625,137.73861694335938,139.82147216796875,135.39939880371094,961.7999877929688,494.39813232421875,368.5751037597656,349.7759094238281,367.9071350097656,347.85992431640625,417.0611877441406,401.3621520996094,411.5421142578125,394.976806640625,475.5353088378906,461.6388854980469,476.63818359375,456.29949951171875,2.440000057220459,2.0,923.3856811523438,0.03251301869750023,-1.833890438079834,-1.7338008880615234,-1.7696805000305176,-1.710011601448059,-0.11614853888750076,-0.04668201133608818,0.3296491503715515,0.3089374899864197,0.6836164593696594,0.616917610168457,0.7861671447753906,0.6345539093017578,0.8774685859680176,0.949086606502533,0.4439525604248047,27.64806365966797,93.39076232910156,169.4775390625,28.52475929260254,92.0999984741211,163.36558532714844,27.191991806030273,218.38235473632812,4.08188009262085,0.0,0.3299936056137085,11.827252388000488,3.6349780559539795,4.497165203094482,3.709819793701172,4.211490154266357,4.919999122619629,2.1057450771331787,0.21345087130227827,0.279125930677272,0.2269321381935967,0.1406224889945896,0.13986857083226342,3.2629357532530934,138.29022598266602,3.7697296748158733,105.34585571289062,649.0525994850159,256.49602254231775,32.51301869750023,-1761.8458569049835,0.027273949833216023,-0.08141527511179447,0.3192933201789856,1.1034440994262695,0.6502670347690582
2024-11-10 00:30:00,6094.62939453125,78.34941101074219,139.91049194335938,6.0,49.44377517700195,64.3740463256836,51.78582000732422,32.47536849975586,32.00322723388672,7.0,7.0,7.0,7.0,7.0,140.09613037109375,137.61044311523438,139.6978759765625,135.39939880371094,928.8989868164062,495.52459716796875,369.24554443359375,350.2251281738281,368.25189208984375,348.0078430175781,417.9720764160156,401.5381164550781,412.11260986328125,394.4609680175781,477.2991638183594,462.8646240234375,474.880859375,455.09625244140625,2.440000057220459,2.0,925.4559326171875,-0.019141411408782005,-1.8786019086837769,-1.7718030214309692,-1.8097918033599854,-1.7502080202102661,-0.09734365344047546,-0.013551476411521435,0.3136484622955322,0.3295685648918152,0.7025288939476013,0.5965370535850525,0.7809101343154907,0.6313573718070984,0.8970001935958862,0.9523026347160339,0.4626494348049164,24.869260787963867,93.4731674194336,164.38095092773438,30.09341049194336,92.0999984741211,163.36558532714844,27.191991806030273,222.9603271484375,4.849542140960693,0.0,0.3360428512096405,0.04678367078304291,3.4618656635284424,4.419908046722412,3.611628293991089,4.211490154266357,3.2959487438201904,2.1057450771331787,0.2148960987572544,0.27978711914867554,0.22507526277434492,0.14114678685675816,0.13909473246296697,3.2617414466069445,138.2009620666504,3.657905057130778,107.5692138671875,649.0525994850159,257.0710923936632,-19.141411408782005,-1802.6011884212494,0.02698713819083442,-0.05544756492599845,0.3216085135936737,1.09658882021904,0.6495329737663269
2024-11-10 00:35:00,6105.8671875,78.39334869384766,139.93344116210938,6.0,50.10896682739258,64.6860580444336,52.15422821044922,32.747535705566406,32.71303939819336,7.0,7.0,7.0,7.0,7.0,139.94964599609375,137.50515747070312,139.59259033203125,135.39939880371094,960.6544189453125,493.54852294921875,366.6101989746094,349.06524658203125,367.0771484375,347.43878173828125,417.2579650878906,399.88787841796875,411.44427490234375,393.4500427246094,473.1525573730469,454.5220642089844,468.78460693359375,452.8747863769531,2.440000057220459,2.0,939.70263671875,-0.05335938185453415,-1.8929266929626465,-1.795493483543396,-1.8252716064453125,-1.8043739795684814,-0.18422026932239532,-0.1136954203248024,0.34534502029418945,0.34791335463523865,0.6565290689468384,0.6038170456886292,0.7969183921813965,0.6224781274795532,0.9003781080245972,0.9155716300010681,0.4693712592124939,24.181421279907227,93.4731674194336,164.38095092773438,30.09341049194336,92.0999984741211,163.36558532714844,27.191991806030273,223.1018829345703,4.794265270233154,0.0,0.35695305466651917,1.777961015701294,3.5359575748443604,4.426167011260986,3.71783709526062,4.211490154266357,3.2959487438201904,2.1057450771331787,0.21560605770631297,0.27832754986873826,0.22440629390553035,0.14090426364995742,0.14075583486946097,3.2886744075242693,138.11169815063477,3.7759920657768973,107.08795166015625,649.0525994850159,261.02851019965277,-53.35938185453415,-1829.516440629959,0.026067865814593142,-0.14895784482359886,0.34662918746471405,1.108157455921173,0.6301730573177338
2024-11-10 00:40:00,6100.43994140625,78.43885803222656,139.92965698242188,6.0,49.81275177001953,64.62294006347656,52.57691192626953,31.967187881469727,31.884729385375977,7.0,7.0,7.0,7.0,7.0,139.8443603515625,137.37696838378906,139.4644012451172,135.2941131591797,972.7113037109375,489.50439453125,368.51776123046875,350.1233215332031,368.1388854980469,347.2420959472656,417.5857238769531,401.7447814941406,410.6843566894531,394.4570617675781,469.9471740722656,455.7276306152344,466.7775573730469,454.34197998046875,2.440000057220459,2.0,922.9899291992188,-0.044891107827425,-1.894397258758545,-1.8047617673873901,-1.8414932489395142,-1.7905066013336182,-0.13384108245372772,-0.05928625911474228,0.35325196385383606,0.3378564417362213,0.6524164080619812,0.6163040995597839,0.7927321791648865,0.6265966296195984,0.9169929027557373,0.9363433122634888,0.4608738124370575,24.686153411865234,93.4731674194336,164.38095092773438,30.09341049194336,92.0999984741211,163.36558532714844,27.191991806030273,228.8616180419922,5.6063032150268555,0.0,0.33981648087501526,0.0,3.6107115745544434,4.490329742431641,3.6975085735321045,4.211490154266357,3.2959487438201904,2.1057450771331787,0.21576616254637804,0.2799171556379059,0.22773924591128097,0.13846730428442458,0.1381101316200105,3.269714120339522,137.9949607849121,3.8267848734334207,98.01458740234375,649.0525994850159,256.3860914442274,-44.891107827425,-1832.7897191047668,0.027199064298776828,-0.096563670784235,0.3455542027950287,1.1060304939746857,0.6343602538108826
2024-11-10 00:45:00,6091.26025390625,78.45701599121094,139.94680786132812,6.0,49.87327575683594,64.62507629394531,52.32075500488281,32.56692886352539,32.33116912841797,7.0,7.0,7.0,7.0,7.0,139.73907470703125,137.2716827392578,139.35911560058594,135.18882751464844,978.3583374023438,488.67022705078125,366.45294189453125,348.888916015625,366.7230224609375,347.85992431640625,417.2579650878906,403.5125732421875,412.8389892578125,397.6164855957031,467.2459716796875,454.002685546875,472.7372131347656,459.7186279296875,2.440000057220459,2.0,918.7776489257812,-0.06735046207904816,-1.8707672357559204,-1.7738476991653442,-1.8114330768585205,-1.7950899600982666,-0.1716969907283783,-0.09750374406576157,0.28905680775642395,0.33487212657928467,0.6940128207206726,0.5979775786399841,0.7896630764007568,0.6331989169120789,0.8986802697181702,0.9229605197906494,0.46254223585128784,23.495967864990234,93.5738754272461,165.4307861328125,29.837055206298828,92.0999984741211,163.36558532714844,27.191991806030273,225.73912048339844,4.742408275604248,0.0,0.34250739216804504,0.0,3.447995901107788,4.409819602966309,3.5806100368499756,4.211490154266357,3.2959487438201904,2.1057450771331787,0.2152333735709838,0.27889632226777367,0.2257957280044581,0.14054601106048364,0.1395285650963008,3.2867363536592396,137.88967514038086,3.854801653335766,91.65689086914062,649.0525994850159,255.2160135904948,-67.35046207904816,-1812.784492969513,0.026797087698157345,-0.13460036739706993,0.3119644671678543,1.1062625348567963,0.6459951996803284
