ts,ssq [ton/d],pct_ssq [%],liq_temp [°C],fa_vp [Nm³/s],fa_as [Nm³/s],fa_asa [Nm³/s],fa_at [Nm³/s],fa_ac [Nm³/s],temp_ac_VTI1 [°C],temp_ac_VTI2 [°C],temp_ac_VTI3 [°C],temp_ac_VTI4 [°C],fa_agua [t/h],temp_lp_vapor_post_vv [°C],temp_vapor_pre_atemp2 [°C],temp_vapor_sobrec_post_atemp1 [°C],temp_vapor_pre_atemp1 [°C],temp_vapor_sobrec_post_atemp2 [°C],temp_vapor_sob_desc_sob_sec_1 [°C],temp_vapor_sobrec_post_atemp3 [°C],temp_vapor_sob_desc_sob_sec_2 [°C],temp_vapor_sobrec_post_atemp4 [°C],temp_vapor_sobrec_post_sobrec3 [°C],temp_vapor_sobrec_post_atemp5 [°C],temp_vapor_sobrec_post_sobrec3_2 [°C],temp_vapor_sobrec_post_atemp6 [°C],K_cenizas_pct [%],Cl_cenizas_pct [%],gen_vapor [ton/h],press_hogar [kPa],press_aire_comb_PPT1 [kPa],press_aire_comb_PPT2 [kPa],press_aire_comb_PPT3 [kPa],press_aire_comb_PPT4 [kPa],dif_press_comb_sobrec_izq [kPa],dif_press_comb_sobrec_der [kPa],dif_press_comb_sobrebgp_izq [kPa],dif_press_comb_sobrebgp_der [kPa],dif_press_comb_eco2_izq [kPa],dif_press_comb_eco2_der [kPa],dif_press_comb_eco1_izq [kPa],dif_press_comb_eco1_der [kPa],heat_coef_SH1 [kJ/m2C],heat_coef_SH2 [kJ/m2C],heat_coef_SH3 [kJ/m2C],heat_coef_SH4 [kJ/m2C],reduction_lab [%],alcali_lv_lab [g/L],sulfidez_lab [%],reduction_i [%],alcali_lv_i [g/L],sulfidez_i [%],cems1_nox,cems1_mp10,cems1_so2,cems1_trs,cems1_co,O2_left_cont [%],O2_mid_cont [%],O2_right_content [%],Prim,Sec,Sec Alt,Terc,Cuat,Ratio_aircomb_liq,Out_gas_temp,Ratio_Steam_Stream,Atem,T15,A,B,C,Soiling_rate_point,Diff_Press_SC,Diff_Press_BG,Diff_Press_ECO1,Diff_Press_ECO2
2024-10-15 00:00:00,5099.6328125,78.63420867919922,138.56503295898438,50.2631950378418,57.74995040893555,46.0658073425293,27.673873901367188,19.414142608642578,134.34652709960938,134.51133728027344,133.60952758789062,134.47012329101562,828.624267578125,491.8284912109375,381.56884765625,348.629150390625,381.8297119140625,352.3518371582031,415.965087890625,399.3695373535156,416.1606140136719,398.11541748046875,474.99188232421875,467.7735290527344,476.740478515625,467.0309753417969,2.809999942779541,1.7599999904632568,810.3162841796875,-0.06744564324617386,-1.457044005393982,-1.3948888778686523,-1.4196276664733887,-1.4474189281463623,-0.1410733163356781,-0.08316502720117569,0.20461979508399963,0.24004897475242615,0.557685375213623,0.44217392802238464,0.6406331062316895,0.5073868036270142,0.8826233744621277,0.9574035406112671,0.40292441844940186,27.718339920043945,89.05408477783203,168.56198120117188,28.298921585083008,89.30000305175781,27.191991806030273,27.360000610351562,252.92697143554688,6.482452869415283,24.97194480895996,0.7430276274681091,26.800264358520508,3.5214264392852783,4.171478748321533,4.589467525482178,0.24985809157891706,0.28707471514873484,0.22899289830224545,0.13756668899351573,0.09650760597658688,0.03944734389625555,134.23437881469727,0.16248704525295174,113.98617553710938,662.7803170467436,225.08785671657986,-67.44564324617386,-1429.7448694705963,0.02688861162208015,-0.1121191717684269,0.4446687698364258,1.1480199098587036,0.9998593032360077
2024-10-15 00:05:00,5062.93798828125,78.63145446777344,138.5608673095703,50.46158218383789,57.73043441772461,46.86613082885742,26.745586395263672,18.865468978881836,134.32192993164062,134.12966918945312,133.73312377929688,134.36483764648438,848.5699462890625,494.3139343261719,382.4124450683594,348.8390808105469,381.1470031738281,352.3856506347656,415.912109375,398.6231384277344,415.3662109375,397.02825927734375,481.12493896484375,467.31060791015625,478.0922546386719,463.7690734863281,2.809999942779541,1.7599999904632568,812.5640258789062,-0.08144441992044449,-1.3479695320129395,-1.3176617622375488,-1.3052693605422974,-1.3509043455123901,-0.17475734651088715,-0.10950704663991928,0.20937399566173553,0.19331248104572296,0.5258978605270386,0.44104960560798645,0.625019907951355,0.4904339909553528,0.8712859749794006,0.9309682250022888,0.37075111269950867,28.38376235961914,88.7244873046875,167.55487060546875,27.859455108642578,89.30000305175781,27.191991806030273,27.360000610351562,249.61483764648438,4.792214393615723,22.116281509399414,0.7221819162368774,30.10698890686035,3.5970394611358643,4.209304332733154,4.573877811431885,0.2514665004823044,0.28768955879068847,0.23354919526192072,0.13328196864025804,0.09401277682482838,0.03963493198396609,134.13739013671875,0.1676042543387209,126.09915161132812,662.7803170467436,225.7122294108073,-81.44441992044449,-1330.451250076294,0.024516283370581766,-0.1421321965754032,0.4026864767074585,1.1154538989067078,0.966947466135025
2024-10-15 00:10:00,5080.5439453125,78.65126037597656,138.57044982910156,50.288169860839844,57.68446731567383,46.05376434326172,26.984590530395508,19.0150203704834,134.24124145507812,133.94369506835938,133.83840942382812,134.36483764648438,862.8652954101562,494.6122741699219,376.9375,347.0803527832031,378.6252746582031,351.732666015625,416.8995361328125,398.1492614746094,415.4786376953125,394.6577453613281,482.46563720703125,464.106201171875,474.0091857910156,460.6700744628906,2.809999942779541,1.7599999904632568,813.5333862304688,-0.05289723351597786,-1.3834933042526245,-1.340635895729065,-1.345570683479309,-1.384761929512024,-0.16689206659793854,-0.1120426207780838,0.21794909238815308,0.20792338252067566,0.5275341272354126,0.4367022216320038,0.6450373530387878,0.5259450078010559,0.8905878663063049,0.933422327041626,0.3850712478160858,28.260679244995117,88.7244873046875,167.55487060546875,27.859455108642578,89.30000305175781,27.191991806030273,27.360000610351562,254.09324645996094,8.701197624206543,22.728302001953125,0.7098151445388794,31.696075439453125,3.5443100929260254,4.239059925079346,4.674135208129883,0.2514081506313485,0.2883848286410045,0.23023887636379387,0.1349054065710562,0.09506273779279692,0.03937098361391122,134.0970458984375,0.16983718765119,128.01947021484375,662.7803170467436,225.98149617513022,-52.89723351597786,-1363.6154532432556,0.025666318370008316,-0.13946734368801117,0.42587247490882874,1.1709823608398438,0.9642363488674164
2024-10-15 00:15:00,5106.5068359375,78.64966583251953,138.57838439941406,50.41693115234375,57.76668930053711,46.335391998291016,26.651485443115234,19.487924575805664,134.24124145507812,133.82009887695312,133.83840942382812,134.38926696777344,843.0662841796875,493.0022277832031,380.72576904296875,349.82470703125,380.9759521484375,351.5220947265625,418.1337890625,400.7928466796875,413.5653381347656,394.3587646484375,480.5401611328125,466.26995849609375,471.3141174316406,460.4638366699219,2.809999942779541,1.7599999904632568,807.9030151367188,-0.05349608510732651,-1.4065717458724976,-1.386562466621399,-1.3699055910110474,-1.4004621505737305,-0.1196725144982338,-0.046096161007881165,0.2235141545534134,0.22902433574199677,0.5139551162719727,0.42009279131889343,0.6269906163215637,0.5027320384979248,0.8755441308021545,0.9089701771736145,0.4168972671031952,29.056489944458008,88.7244873046875,167.55487060546875,27.859455108642578,89.30000305175781,27.191991806030273,27.360000610351562,247.31634521484375,4.0085954666137695,22.380126953125,0.6926712989807129,26.241506576538086,3.554292678833008,4.259321689605713,4.703868389129639,0.25125748788271357,0.28788569445245676,0.23091675608681264,0.13282016829912793,0.09711989327888916,0.03929465462729652,134.0722541809082,0.16509647617555956,122.02291870117188,662.7803170467436,224.4175042046441,-53.49608510732651,-1390.8754885196686,0.026554686227256912,-0.08288433775305748,0.45253849029541016,1.1297226548194885,0.9340479075908661
2024-10-15 00:20:00,5125.375,78.66722106933594,138.5341339111328,50.23739242553711,57.427371978759766,46.12418746948242,26.632354736328125,19.250701904296875,134.24124145507812,133.71481323242188,134.193115234375,134.34042358398438,815.8695678710938,494.22247314453125,382.2309265136719,347.959228515625,379.62615966796875,351.4091491699219,416.6849060058594,402.1667785644531,416.3706359863281,397.77740478515625,472.9955749511719,464.5242919921875,471.95294189453125,462.7700500488281,2.809999942779541,1.7599999904632568,797.7930908203125,-0.02003064565360546,-1.3179510831832886,-1.3122022151947021,-1.290945291519165,-1.3239121437072754,-0.16012175381183624,-0.08564571291208267,0.2209096997976303,0.23838746547698975,0.5298047661781311,0.43279385566711426,0.6227324604988098,0.5034875273704529,0.8698202967643738,0.9192678928375244,0.41668012738227844,29.679601669311523,88.7244873046875,167.55487060546875,27.859455108642578,89.30000305175781,27.191991806030273,27.360000610351562,245.76878356933594,10.050332069396973,15.520111083984375,0.6928940415382385,26.267669677734375,3.548936367034912,4.269790172576904,4.885934352874756,0.2515995747191224,0.2876085256317586,0.2309997671313805,0.1333805120431133,0.09641162047462518,0.038957541353443266,134.12239837646484,0.15918241452988197,113.25424194335938,662.7803170467436,221.60919189453125,-20.03064565360546,-1311.2526834011078,0.026292106909707093,-0.12288373336195946,0.45929716527462006,1.1262199878692627,0.9625986218452454
2024-10-15 00:25:00,5107.77197265625,78.67696380615234,138.54624938964844,50.6418571472168,57.89411163330078,46.12006378173828,26.91229820251465,19.703670501708984,134.11306762695312,133.60952758789062,134.73805236816406,134.2838897705078,856.117431640625,494.44268798828125,375.6432800292969,346.9718322753906,376.9862060546875,351.3115234375,417.4685363769531,400.4702453613281,415.6894836425781,397.0304260253906,477.888671875,469.1691589355469,477.0988464355469,463.5606689453125,2.809999942779541,1.7599999904632568,803.143798828125,-0.07205156981945038,-1.4068546295166016,-1.3596274852752686,-1.346035361289978,-1.3805062770843506,-0.16266565024852753,-0.09994839131832123,0.2248658537864685,0.19558720290660858,0.5031322836875916,0.43979114294052124,0.6333542466163635,0.49898532032966614,0.8687658905982971,0.9201459884643555,0.4008699953556061,27.62739372253418,87.9249038696289,163.0930633544922,27.04155921936035,89.30000305175781,27.191991806030273,27.360000610351562,246.16595458984375,8.972485542297363,15.82652759552002,0.7089898586273193,24.079648971557617,3.4439635276794434,4.29771614074707,4.881968021392822,0.25160905058109967,0.28764115857649925,0.22914296818004198,0.13371108764841755,0.09789573501394155,0.039405048295805156,134.1861343383789,0.1676107383461382,112.26116943359375,662.7803170467436,223.09549967447919,-72.05156981945038,-1373.2559382915497,0.02614350988994773,-0.13130702078342438,0.4204530566930771,1.1323395669460297,0.9429234266281128
2024-10-15 00:30:00,5079.86669921875,78.66716766357422,138.54750061035156,50.10628890991211,57.448116302490234,46.31809616088867,27.362918853759766,18.990455627441406,134.11306762695312,133.60952758789062,134.4532928466797,134.36483764648438,840.3944091796875,493.5576171875,375.71112060546875,346.9718322753906,379.46441650390625,350.80499267578125,418.4389953613281,402.3236389160156,416.2538146972656,395.7987976074219,476.404296875,465.55377197265625,469.71295166015625,459.6695251464844,2.809999942779541,1.7599999904632568,818.7025146484375,-0.033329494297504425,-1.3906627893447876,-1.3525031805038452,-1.3415567874908447,-1.3529257774353027,-0.1303652822971344,-0.07608785480260849,0.17518256604671478,0.24170313775539398,0.5486660003662109,0.41789865493774414,0.6333066821098328,0.5075652003288269,0.879989743232727,0.9236629009246826,0.38974320888519287,26.187082290649414,87.9249038696289,163.0930633544922,27.04155921936035,89.30000305175781,27.191991806030273,27.360000610351562,240.02227783203125,3.4787728786468506,14.684828758239746,0.6985460519790649,26.789640426635742,3.43436336517334,4.265639305114746,4.957569122314453,0.2502488187207395,0.2869165439148276,0.23132922237557788,0.13666025301167817,0.09484516197717681,0.03941557676804504,134.13518142700195,0.16543631141126885,114.863037109375,662.7803170467436,227.41736518012155,-33.329494297504425,-1359.412133693695,0.025640314173828258,-0.10322656854987144,0.41688570380210876,1.1408718824386597,0.9665646553039551
2024-10-15 00:35:00,5084.16796875,78.67536926269531,138.55291748046875,50.16225051879883,57.62317657470703,46.12261199951172,27.256807327270508,19.347257614135742,134.11306762695312,133.5797882080078,135.5432891845703,134.36483764648438,835.4197387695312,490.4993591308594,377.0992431640625,346.6444396972656,379.1058044433594,350.6920166015625,417.3601989746094,402.3284606933594,416.205078125,397.73333740234375,472.3621826171875,466.58673095703125,471.78759765625,462.83819580078125,2.809999942779541,1.7599999904632568,811.7940063476562,-0.0327080562710762,-1.4237279891967773,-1.367591142654419,-1.373189926147461,-1.378388524055481,-0.10718528181314468,-0.04675816744565964,0.22394613921642303,0.23328307271003723,0.5253399014472961,0.44158121943473816,0.6357519030570984,0.4992445707321167,0.8783622980117798,0.9312554597854614,0.4022477865219116,25.43619155883789,87.9249038696289,163.0930633544922,27.04155921936035,89.30000305175781,27.191991806030273,27.360000610351562,240.44065856933594,10.734615325927734,8.099153518676758,0.7196928858757019,25.968854904174805,3.4704701900482178,4.276142597198486,4.796961307525635,0.2501706855072799,0.2873800404828145,0.23002407870396396,0.1359359698434518,0.09648922546248985,0.039438528637699984,134.4002456665039,0.16431788719500717,107.096923828125,662.7803170467436,225.4983350965712,-32.7080562710762,-1385.7243955135345,0.02660825302817862,-0.07697172462940216,0.45722921192646027,1.134996473789215,0.9669211208820343
2024-10-15 00:40:00,5095.060546875,78.6726303100586,138.5675506591797,50.249446868896484,57.85703659057617,46.357059478759766,26.790306091308594,19.515106201171875,134.0322265625,133.48133850097656,134.73793029785156,134.3892822265625,857.3614501953125,490.4338073730469,376.9375,347.43878173828125,379.41552734375,350.90704345703125,418.2421569824219,401.5829162597656,414.5891418457031,396.1622314453125,477.5138244628906,470.9330139160156,477.2978515625,466.8863220214844,2.809999942779541,1.7599999904632568,808.8907470703125,-0.0563434474170208,-1.3650332689285278,-1.3471269607543945,-1.327055811882019,-1.3848031759262085,-0.17242461442947388,-0.11135640740394592,0.21640804409980774,0.25816628336906433,0.5082917809486389,0.4044545292854309,0.6283966302871704,0.5182967185974121,0.8683682680130005,0.8807383179664612,0.43466895818710327,25.85576629638672,88.90454864501953,167.8905792236328,28.280611038208008,89.30000305175781,27.191991806030273,27.360000610351562,243.34979248046875,4.129857063293457,5.794356822967529,0.6506510972976685,27.105634689331055,3.543837308883667,4.266153812408447,4.7470502853393555,0.2502849447572834,0.2881772061028558,0.23089754800730383,0.13343848933478095,0.09720181179777602,0.03940462598699683,134.16019439697266,0.16827306413878945,110.085693359375,662.7803170467436,224.69187418619794,-56.3434474170208,-1356.0048043727875,0.02574278162744379,-0.1418905109167099,0.47457432746887207,1.1466933488845825,0.9127463102340698
2024-10-15 00:45:00,5094.05322265625,78.68238830566406,138.61929321289062,50.239253997802734,57.577842712402344,45.4193115234375,26.672975540161133,18.858963012695312,134.11306762695312,133.48133850097656,134.27638244628906,134.6166229248047,832.2466430664062,493.8087158203125,378.83563232421875,348.1650085449219,375.3403015136719,349.77569580078125,417.8554992675781,399.0599670410156,413.8887634277344,393.7347412109375,482.51824951171875,469.1203918457031,478.32281494140625,463.9328308105469,2.809999942779541,1.7599999904632568,809.0706176757812,-0.0043829516507685184,-1.3610970973968506,-1.346951961517334,-1.3079925775527954,-1.3330206871032715,-0.12870866060256958,-0.07558277994394302,0.1812801957130432,0.24773763120174408,0.5298494100570679,0.4059572219848633,0.6374154686927795,0.48157161474227905,0.8725811839103699,0.8875365257263184,0.4062826335430145,27.306577682495117,88.90454864501953,167.8905792236328,28.280611038208008,89.30000305175781,27.191991806030273,27.360000610351562,242.875,4.671575546264648,4.895535945892334,0.71233731508255,27.509084701538086,3.5837159156799316,4.222568511962891,4.649872303009033,0.25275278891244035,0.28967309756944265,0.22850374447307384,0.13419126320354768,0.09487910584149545,0.03901968395274304,134.12185287475586,0.1633761185228525,122.97262573242188,662.7803170467436,224.74183824327258,-4.3829516507685184,-1337.2655808925629,0.026389067893990054,-0.1021457202732563,0.4290178269147873,1.1189870834350586,0.9358066320419312
